title,pageid,context,rating
Birthing chair,39148820,"A birthing chair, also known as a birth chair, is a device that is shaped to assist a woman in the physiological upright posture during childbirth. The birthing chair is intended to provide balance and support to mothers giving birth.
The early birthing chairs varied between having three or four legs, though three legged birthing chairs are most commonly seen. Both styles support the bottom of the women in labor and often have a slender, sloped back for comfort and to allow birthing assistants, who are positioned behind the mother in labor, to massage or support her. Often the arms of the chair have hand holds or arm rests for the mother to grip, providing extra leverage. Birthing chairs are usually 8 to 10 inches (20.32 centimeters- 25.4 centimeters) off the ground specifically to allow laboring women to brace their feet against the ground to help in pushing.



",37
Bofinger chair,29162468,"The Bofinger Chair, also named BA 1171, was designed by architect and designer Helmut Bätzner in 1964. In close co-operation with Bofinger company, situated in Ilsfeld in Baden-Württemberg/Germany, under owner and managing director Rudolf Baresel-Bofinger, the Bofinger stacking chair was developed into the first one-piece plastic chair worldwide in fibreglass- reinforced polyester to be mass-produced in one single pressing process over a steel mould. The material was dyed all way through before being processed and available in a range of colours including white, yellow, black, red, blue, green, brown and orange. In a long trial series the characteristic shape of the chair was found in regard to seating shape, maximum stability by smallest quantity of material used, required elasticity, stacking capability, and industrial mass-production. The pressing process in the heated steel mould with a weight of approximately 11 tons lasted under five minutes and required as finishing treatment only simple scraping round the edges to remove excess polyester.
In 1966 the Bofinger Chair made its debut at the furniture fair in Cologne. The same year it received the ‘Rosenthal-Studio’ Award in the presence of Chancellor Ludwig Erhard, Philipp Rosenthal und Walter Gropius. The Bofinger Chair became a design icon of its time. In 1971 on the occasion of an art happening in Berlin twelve well-known artists - among those Joseph Beuys, Sigmar Polke, Günther Uecker, Wolf Vostell, and Stefan Wewerka – transformed the Bofinger stacking chair into an art object. Museums, such as the Victoria &amp; Albert Museum in London, the Centre Pompidou in Paris and the Vitra Design Museum in Weil am Rhein, included the Bofinger Chair in their collection. The Bofinger Chair is considered one of the most important classics of modern furniture design history.",26
Brewster Chair,2221584,"A Brewster Chair is a style of turned chair made in mid-17th century (""Pilgrim Century"") New England.
",39
Brno chair,5259855,"The Brno chair (model number MR50) is a modernist cantilever chair designed by Ludwig Mies van der Rohe and Lilly Reich in 1929-1930 for the bedroom of the Tugendhat House in Brno, Czech Republic. The design was based on similar chairs created by Mies van der Rohe also working with Lilly Reich, such as the MR20 chair with wicker seat from 1927; all building on earlier designs of Mart Stam.
The Brno chair has become a modern furniture classic. It has very clean lines, consisting of a steel frame in a single piece, bent into a C-shape from the middle of the back, round past the front edge of seat (to create arms), and back under the seat to create a cantilever, with taut seat and back upholstered in leather. There are two versions of the chair, one in tubular steel and the other in flat steel. The metal was originally polished stainless steel; some modern examples are chrome plated.
The Brno chair was selected by Dan Cruickshank as one of his 80 man-made ""treasures"" in the 2005 BBC series, Around the World in 80 Treasures.
",95
Broken Chair,18161883,"Broken Chair is a monumental sculpture in wood by the Swiss artist Daniel Berset, constructed by the carpenter Louis Genève. It is constructed of 5.5 tons of wood and is 12 metres (39 feet) high.
It depicts a giant chair with a broken leg and stands across the street from the Palace of Nations, in Geneva. It symbolises opposition to land mines and cluster bombs, and acts as a reminder to politicians and others visiting Geneva.



",28
Bubble Chair,5529135,The Bubble chair was designed by Eero Aarnio in 1968 in Finland. It is made of acrylic on steel frame and leather or polyurethane fabric cushions. It is distributed by Aarnio Originals. The chair is suspended from above leading to a floating or bubble-like sensation. It is considered an industrial design classic and advanced the usage of plastics in furniture design. The chair is considered modernist or spaceage and is often used to symbolise the 1960s period.,43
Bungee chair,17893298,"A bungee chair is a chair that has bungee cords or bands incorporated in its construction. While the chair’s legs and other components are usually made with traditional materials such as plastic or metal, the seating and back portions of the chair are made with bungee.
Bungee chairs are noted for their distinctive style and form. The open spaces between each bungee band tend to give the chair a unique sense of breathability and ""bounce"". The chair's bungee bands can be either rounded or flattened, and the number of bands on each make of bungee chair may vary.
Types of bungee chairs include office chairs, lounge chairs  and folding chairs. A relatively obscure form of chair a decade ago, the bungee chair is now common in many retail locations.",18
Busby's stoop chair,35199573,"The Busby's stoop chair or the Dead Man's Chair is an allegedly haunted oak chair that was cursed by the murderer Thomas Busby before his execution by hanging in 1702 in North Yorkshire, in the United Kingdom. So many deaths were later attributed to people sitting in the chair, that the landlord donated it to the Thirsk Museum.



",89
Butterfly chair,16098402,"A butterfly chair, also known as a BKF chair, is a style of chair featuring a folding frame and a large cloth sling hung from the frame's highest points. This design is popular for portable recreational seating.
",12
Cabriolet (furniture),49312539,"A cabriolet armchair is an armchair whose armrests are separated from the seat, so it is light and easy to move. The opening of the seat between the two arms is wide, in order to let a woman sit down with a large dress. The back of the armchair is concave.














",54
Campeche chair,40993059,"Campeche chair, also known as a ""plantation chair,"" is a type of lounge chair popular in Latin America, the Caribbean, and the American South. Its name comes from the Campeche region of Mexico's Yucatán Peninsula, which manufactured and exported the chairs in the 18th and 19th centuries. In Great Britain it is called an ""X-frame chair,"" which gives a clue to its structure: two X-shaped sides joined by horizontal rails, with a sling back and seat of leather, cane or wooden slats. Campeches often have attached arms, and sometimes are made into rocking chairs.
Thomas Jefferson owned at least two ""Campeachy"" armchairs at Monticello, and had more copied by enslaved woodworker John Hemings. James Madison owned a Mexican-made Campeche armchair at his plantation Montpelier, which was described as his ""favorite seat.""",25
Cantilever chair,1254571,"A cantilever chair is a chair whose seating and framework are not supported by the typical arrangement of 4 legs, but instead is held erect and aloft by a single leg or legs that are attached to one end of a chair's seat and bent in an L shape, thus also serving as the chair's supporting base. Nearly a century after its inception, tubular steel remains the prime choice for the cantilever chair with Marcel Breuer being perhaps the greatest champion of this design technique; using the overhanging cantilever styling in both his furniture and architecture. Ludwig Mies van der Rohe and Alvar Aalto are other historical figures who contributed to the popularity of the cantilever chair.
With the creation of his Wassily Chair in 1925, Marcel Breuer holds the distinction of first using bent and polished tubular steel as both a supporting framework and a decorative element for furniture. A year later, however, it was Mart Stam who was awarded the European patent for the cantilever chair. New research indicates that Mart Stam was inspired by a cantilever tubular steel seat seen installed in a 1926 Tatra T12 two-door saloon car.",30
Caquetoire,7710542,"The caquetoire, or conversation chair, was an armchair style which emerged during the European Renaissance.
It was largely used in France, and is one of the most well-known pieces of furniture from the French Renaissance. This chair is often associated with groups of women sitting and conversing. Due to fashions of the time and the lack of heating systems in homes, women wore several layers of skirts and petticoats to keep warm. This often prevented them from fitting comfortably into armchairs with rectangular seats. A caquetoire seat is splayed so women in their large skirts could easily sit.
These chairs were often made from walnut rather than oak allowing the frames to be more elaborately carved. They were built with mortise and tenon joinery, so no nails were exposed and no glue had to be used. The supports were baluster-turned and terminated in bun feet.
The name caquetoire is derived from “caqueter”, a French term meaning “to chat”. The chair was thus named the caquetoire as a reference to women sitting and talking.",1
User:Cblinford/sandbox,55192130,"The 40/4 chair has been called “the most universally useful chair ever made and accomplished with the least expenditure of material and labor”. The chair gets its name from the ability to place 40 chairs in a 4-foot stack. It is not only versatile, but also has a style that has complimented a variety of installations. In 2010, Contract Design Magazine named the 40/4 number one of the top 10 commercial interiors products of the past 50 years.",49
Centripetal Spring Armchair,35986615,"The Centripetal Spring Chair or Armchair was a 19th-century American office chair, and one of the first modern designs for office chairs.
Designed in 1849 by the American inventor Thomas E. Warren (b. 1808), the chair was produced by the American Chair Company in Troy, New York. Made of cast iron and varnished steel with wood and velvet upholstery, it measured 107 × 61 × 71 centimeters with headrest and armrests, and had a seat height of 48 centimeters.
The chair exhibited all features of today's office chairs except adjustable lumbar support: it allowed tilt movement in all directions and had a revolving seat, caster wheels for ease of movement, as well as a headrest and armrests in the armchair variant. Tilting was achieved through the flexion of the four large C-shaped steel springs on which the seat rested, using the sitter's feet as a fulcrum. The modernity of its design, which included an innovative use of cast iron for the frame, was visually downplayed by hiding the springs behind a dense passementerie (an elaborate trim) and by rendering the frame in the nostalgic, gilded Rococo Revival style.
After it was first presented at the 1851 Great Exhibition in London, the chair had little success outside the USA: it was deemed immoral because it was too comfortable. The Victorian morality of the time valued rigid, unsupportive seats that allowed sitters to demonstrate refinement, willpower and morality through an upright posture. Nowadays, reflecting its place in the history of chair design, the chair is exhibited in design museums, including the Vitra Design Museum and the Brooklyn Museum.",76
Chair (sculpture),30731927,"Chair is a public artwork designed as an advertisement by Bassett Furniture, located at the intersection of Martin Luther King Ave. and V. Street S.E., in the Anacostia neighborhood of Washington, D.C., United States of America. Chair was originally surveyed as part of the Smithsonian's Save Outdoor Sculpture! survey in 1994. It was once considered the world's largest chair, but has been overtaken by works like Broken Chair in Geneva and the temporary The Writer on Hampstead Heath in London.",51
Chair Transformation Number 20B,32604132,"Chair Transformation Number 20B is an abstract sculpture, by Lucas Samaras, in the National Gallery of Art Sculpture Garden.",96
A Chairy Tale,8270511,"A Chairy Tale (French: Il était une chaise) is a 1957 stop-motion pixilation short film co-directed by Norman McLaren and Claude Jutra, and starring Jutra and a most uncooperative chair. The film humorously portrays Jutra's attempts to sit on the chair - and it on him - set to the music of Ravi Shankar and Chatur Lal.
The film begins with a seemingly normal chair onscreen. Jutra enters, carrying a book, and attempts to sit in the chair so he can read his book. The chair unexpectedly moves out from under him. The man's persistent attempts to sit in the chair become increasingly frenetic and increasingly violent ... but only to himself, not to the chair. Finally, it dawns on the man that perhaps the chair will let him sit on it for a while if he will first allow the chair to sit on him for a few seconds. This gambit succeeds, and all ends happily.
As with McLaren's equally acclaimed short Neighbours, the message of the film is that cooperation is a better means to resolve disputes than force. As with Begone Dull Care, the opening titles are presented in a few other different languages, including German (Die Geschichte vom Stuhl), Spanish (El cuento de una silla), Czech (Pohádka o jedné židli), and Italian (La Fiaba di una Sedia).
A Chairy Tale is a National Film Board of Canada production and was nominated for an Academy Award for Best Short Subject (Live Action) in 1957. The film received a special BAFTA Award in 1958.",74
Chaise a Bureau,7760684,"A Chaise a Bureau is a Rococo style of chair created during the first half of the 18th century. This chair was constructed so it could sit in a corner of a room. There is one leg directly in the back and one directly in the front. There is also one leg on each side.
",55
Chaise longue,1252792,"A chaise longue (English: ; French pronunciation: ​[ʃɛz lɔ̃ɡ], ""long chair"") is an upholstered sofa in the shape of a chair that is long enough to support the legs.
In modern French the term chaise longue can refer to any long reclining chair such as a deckchair. A literal translation in English is ""long chair"". In the United States the term lounge chair is also used to refer to any long reclining chair. In the United States, chaise longue is nearly always written ""chaise lounge"" and pronounced /tʃeɪsˈlaʊndʒ/, the first constituent a spelling pronunciation, the second a 19th-century folk-anagrammatic adaptation of French longue. 
The chaise longue has traditionally been associated with psychoanalysis and many psychoanalysts continue to keep chaises longues in their offices for use in psychotherapy.



",70
Chaise Longue (Le Corbusier),38601044,Chaise Longue - LC4 is a chaise longue designed by the Swiss architect Le Corbusier and French architect Charlotte Perriand.,74
Chiavari chair,35668283,"The Chiavari chair, also known as the Chiavarina, or Tiffany chair, is a wooden chair of Ligurian design.
",74
Close stool,17608149,"A close stool was an early type of portable toilet, made in the shape of a cabinet or box at sitting height with an opening in the top. The external structure contained a pewter or earthenware chamberpot to receive the user's excrement and urine when he or she sat on it; this was normally covered (closed) by a folding lid. ""Stool"" has two relevant meanings: as a type of seat and as human feces. Close stools were used from the Middle Ages (the Oxford English Dictionary gives the first citation as 1410) until the introduction of the indoor flush toilet.
",66
Club chair,17643995,"A club chair is a type of armchair, usually covered in leather. It was created and made in France. Before it came to be known under its current name, it first appeared as the fauteuil confortable, the ""comfortable armchair"". It was given this name to distinguish it from the fauteuil de style, which had straighter lines and was less enveloping.

The craftsmen involved in the design of the chair were unknown. The origins of the term ""club"" are unclear, but it may be a reference to the gentlemen's club.",82
Confidante,33116233,"A confidante (also known as a canapé à joue, a canapé à confidants, or a canapé à confidant(e)) is a type of sofa, originally characterized by a triangular seat at each end, so that people could sit at either end of the sofa and be close to the person(s) sitting in the middle. The ends were sometimes detachable, and could be removed and used on their own as Burjair chairs. The name Confidante was coined by cabinetmaker George Hepplewhite, who described it in his Cabinet-Maker and Upholsterer's Guide as being ""of French origin, and is in pretty general request for large and spacious suits of apartments. An elegant drawing-room, with modern furniture, is scarce complete without a Confidante, […]"".",58
Cuttie-stool,4433423,"A cuttie-stool, or cutty-stool (also -stuil), was a type of three-legged chair used in Scotland. It was a short stool, often having a round seat on the top, but the word also designates a larger piece of furniture associated with public penance in church.
Such stools were often used for milking and domestic purposes, and afforded little comfort other than to provide balance to the worker concerned. They were cheap to buy and easy to make, and their three legs made them stable on uneven floors. ""Cutty"" or ""cuttie"", in Lowland Scots, is an adjective meaning ""short"" (also a fish gutting knife) and can be found in phrases such as Cutty-sark (the nickname of the witch in Tam o' Shanter, derived from her only garment, a short shift).
Dean Ramsay (1793–1872) says:
""A circumstance connected with Scottish church discipline has undergone a great change in my time - I mean the public censure from the pulpit of persons convicted of a breach of the seventh commandment ... this was performed by the guilty person standing on a raised platform called the cutty-stool""
He adds:
""The culprits did not always take the admonition patiently. It is recorded of one of them in Ayrshire, that when accused of adultery by the minister, he interrupted and corrected his reverend monitor by denying the imputation, and calling out, 'Na! Na! Minister; it was simple fornie (fornication) and no adultery ava.'""
",78
Deckchair,2082608,"A deckchair (or deck chair) is a folding chair, usually with a frame of treated wood or other material. The term now usually denotes a portable folding chair, with a single strip of fabric or vinyl forming the backrest and seat. It is meant for leisure, originally on the deck of an ocean liner or cruise ship. It is easily transportable and stackable, although some styles are notoriously difficult to fold and unfold. Different versions may have an extended seat, meant to be used as a leg rest, whose height may be adjustable; and may also have arm rests.



",67
The Devil's Chair (urban legend),20833077,"The term devil’s chair (or ""haunted chair"") in folklore is frequently attached to a class of funerary or memorial sculpture common in the United States during the nineteenth century and often associated with legend tripping. Nineteenth-century graveyards sometimes included carved chairs for the comfort of visitors. In this function, the object was known as a ""mourning chair,"" and cemeteries have since provided benches for similar purposes, most often movable units of the type used in parks, but also specimens in the tradition of the carved chairs.
Some carved chairs were probably not intended for use as anything but monuments, while the ""monubench"" is still commercially available. Once the original purpose of these chairs fell out of fashion, superstitions developed in association with the act of sitting in them. In a typical example, local young people dare one another to visit the site, most often after dark, at midnight, or on some specified night such as Halloween or New Year’s Eve. Variously, the stories suggest the person brave enough to sit in the chair at such a time may be punished for impudence or rewarded for courage.

",39
Diamond chair,10584782,"The Diamond Chair is a chair designed by Harry Bertoia in 1952.
It is made with welded steel with rods in polished or satin chrome, or bonded rilsan, a very durable adhesive-fused nylon-dipped finish. Scratch, chip, and chemical resistant. All wire seating includes glides. Cushions are secured to chair with lock-snaps. Full covers are stretched over the wire seat basket and attach to seat basket with hooks.
Bertoia said about the chairs: ""They are mainly made of air, like sculpture. Space passes right through them.""
",21
Diphros,15039446,"Diphros (Greek: Δίφρος) was an Ancient Greek stool without back and with four turned legs. It was easily transportable and so in common use. Gods are shown sitting on diphroi on the Parthenon frieze; women used them in their home, Oikos. The foldable diphros was called δίφρος ὀκλαδίας diphros okladias. Diphros was also called the saddle of chariot-board, on which two could stand, the driver ἡνίοχος heniochos and the combatant παραιβάτης paraibatês. These objects are only part of the larger body of ancient furniture attested to in texts and images.",79
Director's chair,18779426,"A director's chair is a lightweight chair that folds side-to-side with a scissors action. The seat and back are made of canvas or a similar strong fabric which bears the user's full weight and can be folded; the frame is made of wood, or sometimes metal or plastic. The seat and scissors members work together to support and distribute the sitter's weight so that the seat is comfortably taut. The back is usually low and the chair usually has armrests. The stereotypical image of a movie director on location includes one of these chairs, hence the name. Victor Papanek describes this chair as an excellent design in his book Design for the Real World as it is simple and ideally suited to its function. The design goes back to coffer-makers' chairs of the 15th century and eventually to the Roman curule chair.
The modern American style director's chairs were introduced by the Gold Medal Camp Furniture company. In 1892, the Gold Medal Classic design won an award for excellence in casual furniture design in the lead-up to the 1893 World's Fair Columbian Exposition in Chicago. Gold Medal Directors Chairs are now manufactured in Tennessee by The Lord's Table, Inc.",11
Djinn chair,31051865,"The Djinn chair is an important design of the ""Modernist"" style, created by French designer Olivier Mourgue. Originally called the ""Low fireside chair"", it is also commonly referred to as the ""2001"" chair, because of its prominent appearance in the film 2001: A Space Odyssey.
",21
"""Dragons"" armchair",50140207,"The ""Dragons"" armchair (French: ""Fauteuil aux Dragons"") is a piece of furniture designed by the Irish architect and designer Eileen Gray between 1917 and 1919.
",28
Eames Aluminum Group,30497260,"The Eames Aluminum Group series is a line of furniture designed by Charles and Ray Eames. While the furniture, particularly the task chair, is an icon of office furniture, it was originally commissioned as outdoor seating for the home of J. Irwin Miller (founder of Cummins Engines) by Eero Saarinen and Alexander Girard. The original design featured a woven suspension back and seat stretched between aluminum ribs.
The chair has been in production by Herman Miller since its inception in 1958, although the seat material has changed over time. The original mesh was quickly discontinued, with the most iconic version being black leather. In 1969, the Eames added a ""Soft Pad"" version with cushions. In 2001, a version with ""Cygnus"" mesh (similar to the Aeron chair's Pellicle) was introduced.",37
Eames Fiberglass Armchair,44122084,"The Eames Molded Plastic &amp; Fiberglass Armchair is a fiberglass chair, designed by Charles and Ray Eames, that appeared on the market in 1950. The chair was intentionally designed for the ‘International Competition for Low-Cost Furniture Design.’ This competition, sponsored by the Museum of Modern Art, was motivated by the urgent need in the post-war period for low-cost housing and furnishing designs adaptable to small housing units.
The chair was offered in a variety of colors and bases, such as the “Eiffel Tower” metal base, a wooden base, and a rocker base. The plastic fiberglass armchair is one of the most famous designs of Charles and Ray Eames, and is still popular today.

",95
Eames Lounge Chair,2248385,"The Eames Lounge Chair and ottoman are furnishings made of molded plywood and leather, designed by Charles and Ray Eames for the Herman Miller furniture company. They are officially titled Eames Lounge (670) and Ottoman (671) and were released in 1956 after years of development by designers. It was the first chair that the Eameses designed for a high-end market. Examples of these furnishings are part of the permanent collection of New York's Museum of Modern Art.



",33
Eames Lounge Chair Wood,8668426,"The Eames Lounge Chair Wood (LCW) (also known as Low Chair Wood or Eames Plywood Lounge Chair) is a low seated easy chair designed by husband and wife team Charles and Ray Eames.
The chair was designed using technology for molding plywood that the Eames developed before and during the Second World War. Before American involvement in the war, Charles Eames and his friend, architect Eero Saarinen, entered a furniture group into the Museum of Modern Art's ""Organic Design in Home Furnishings Competition"" in 1940, a contest exploring the natural evolution of furniture in response to the rapidly changing world. Eames &amp; Saarinen won the competition. However, production of the chairs was postponed due to production difficulties, and then by the United States' entry into WWII. Saarinen left the project due to frustration with production.
Charles Eames and his wife Ray Kaiser Eames moved to Venice Beach, CA in 1941. Charles took a job as a set painter for MGM Studios to support them. Ray, formally trained as a painter and sculptor, continued experiments with molded plywood designs in the spare room of their apartment. In 1942 Charles left MGM to begin making molded plywood splints for the United States Navy. The splints used compound curves to mimic the shape of the human leg. The experience of shaping plywood into compound curves contributed greatly to the development of the LCW.



",30
Clint Eastwood at the 2012 Republican National Convention,36889815,"On Thursday, August 30, 2012, American actor and director Clint Eastwood gave a speech at the Republican National Convention. Eastwood had endorsed Mitt Romney for the 2012 United States presidential election earlier that month, and spent much of his speech's running time on a largely improvised routine in which he addressed an empty chair that represented President Barack Obama. The speech, broadcast in a prime time slot, was viewed live by around 30 million Americans. It generated many responses and much discussion.



",59
