title,pageid,context,rating
Dinner train,10083186,"A dinner train is a relatively new type of tourist train service whose main purpose is to allow people to eat dinner while experiencing a relatively short, leisurely round trip train ride. This contrasts with conventional passenger trains, whose main purpose is to transport passengers to some destination as quickly as possible but which also might serve dinner on long-distance routes.

Dinner trains have become popular in recent years, particularly in the United States. This is in part a result of a nostalgia for passenger trains (which are less common in the U.S. than in many other countries) and in part because it provides a very different experience from driving and from eating at ordinary restaurants.
The first dinner train in the United States was the ""Supper Chief"" that ran on the Sierra Railroad in California in the 1970s. Dinner train service was renewed in 1999 with the Sierra Railroad Dinner Train.
There are over 80 dinner trains currently operating in North America. Most such trains operate either seasonally or a few days a week, but some operate daily (or even twice daily on weekends in a few cases).
Almost all dinner trains run on lightly used branch lines or tourist lines, and virtually all use older passenger cars. Almost all dinner train trips are characterized by 2-4 hour trips that return to where they started since the emphasis is the experience and not traveling to a destination. Some feature the use of steam locomotives for at least some of their runs. Speeds are usually between 10–25 miles per hour (16–40 km/h), much slower than ordinary passenger trains, not only due to lower track standards but also to the fact that the emphasis is on the journey itself, not the destination.
Dinner trains can be fun not only for the passengers who ride them but also for the train crews and other employees. They can also provide jobs and be a profitable business. Moreover, they can generate substantial benefits for local economies, including boosting tourism and increasing sales at nearby businesses. For example, the Spirit of Washington, which operated daily on the Woodinville Subdivision near Seattle, provided 80 full-time jobs and contributed roughly $10 million annually to the local economy before ceasing operations in late October 2007. There was also the Michigan Star Clipper Dinner Train which was a dinner train that operated for 24 years out of Walled Lake, Michigan, with trips heading from West Bloomfield to Wixom.
In addition to just providing dinner while riding on a scenic route, some dinner trains have developed additional functions, such as hosting wedding receptions, reunions, company retreats, murder mystery events during the dinner.
Some so-called dinner trains do not actually serve meals aboard the train. Rather, the food is served in a building or outdoors after the train has reached its destination; the passengers then reboard for the return trip. This is particularly true for narrow gauge railways, on which it would be impractical to prepare and serve formal meals. Examples include the 2 ft 6 in (0.76 m) gauge Puffing Billy Railway near Melbourne, Australia and the 3 ft (914 mm) gauge Lahaina Kaanapali Railroad in Maui, Hawaii.
",10
Drag freight,2116001,"A drag freight is a slow, high-tonnage railroad train, often carrying commodities such as coal or ore. Compared to ""fast freight"" trains, drag freight trains have a very low power-to-weight ratio, making them somewhat unpredictable on steep grades or hilly routes. This causes many dispatchers to be extremely conservative with how they handle drag freights, especially when they share lines with higher priority fast freights and passenger trains.",24
Express train,3573829,"Express trains (also sometimes referred to as fast trains, though this is a relative term, usually meaning ""faster than some other trains on the line in question"") are a form of rail service. Express trains make only a small number of stops, instead of stopping locally. In some cases, trains run express where there is overlapping local train service available, and run local at the tail ends of the line, where there is no supplemental local service. During overnight hours, or other times where it is practical, express trains may become local, but still running to where an express train would terminate.
While widely implemented in long-distance rail service, it has also proven successful in the planning of some rapid transit systems. A large portion of the New York City Subway has a 4-track layout, outer two for local trains, and inner two for express trains (on lines with three tracks, the express track provides one-way service, reversing direction as needed). This has also been implemented on Philadelphia's Broad Street Line, on parts of Chicago's Red Line and Purple Line, and on two small parts of London Underground, namely certain sections of the Metropolitan line and the Piccadilly line. Several variations of express services (e.g. semi-express, limited express) are also a feature in major Japanese railways (known locally as kyūkō resshi (急行列車), and on several lines of the Seoul Metropolitan Subway.

Suburban commuter rail networks also provide express services in order to facilitate demand. On the Sydney Trains and NSW TrainLink networks, for example, trains making limited stops connect various major areas of Sydney and its surrounds with the city's Central station. Other trains, such as NSW TrainLink's XPT (Express Passenger Train) or Xplorer, only stop where passengers are to board or disembark and require seats to be booked in advance.
",35
Funeral train,7892914,"A funeral train is a train specially chartered in order to carry a coffin or coffins to a place of interment. Funeral trains today are often reserved for leaders and national heroes, as part of a state funeral, but in the past were sometimes the chief means of transporting coffins and mourners to graveyards. Funeral trains remain mostly steam locomotive hauled, due to the more romantic image of the steam train against more modern diesel or electric locomotives.
",8
Ghost train (folklore),7261415,Ghost train refers to a phantom vehicle in the form of a locomotive or train.,82
Ground vibration boom,43654394,Ground vibration boom is a phenomenon of very large increase in ground vibrations generated by high-speed railway trains travelling at speeds higher than the velocity of Rayleigh surface waves in the supporting ground.,69
Headboard (train),21871508,"A headboard is a board hung on the front of a locomotive. Generally it can depict a named train. Headboards are distinct from locomotive nameplates.
In the United Kingdom, headboards were common on the public railway in the age of steam and into the age of Diesel and electric trains, although in modern times, use of headboards on scheduled trains is now defunct, although headboards are often still used on the occasion of a ""last train"", such as the withdrawal of a particular class of train. On the scheduled network, headboards were used to denote special named trains, such as luxury pullmans, blue riband expresses or other once a day special services such as boat trains. Latterly, headboards are still used by railtour companies, to denote the name of a tour, or more generally the name of the organisation running a tour. Headboards are also frequently used on heritage railway line services to denote special trains or events. Common practice in the UK is to display the headboard on the front of a locomotive (temporarily attached, to denote the name of the train or other purpose), and to have the nameplate of the locomotive on the side of the locomotive (permanently attached to denote the name of the locomotive). Confusion may have arisen over the example of the ""Flying Scotsman"" — where The Flying Scotsman is a famous named train service operating since 1862, after which a now famous locomotive, the 1923 built No. 4472 Flying Scotsman was named — while the Flying Scotsman headboard has been worn by many different locomotives over the years, when No. 4472 was running the service for which it was built, this would give rise to No. 4472 displaying the name Flying Scotsman on both the front and the side of the locomotive.",42
Heaviest trains,17616323,"The heaviest trains in the world are freight trains hauling bulk commodities such as coal and iron ore.
The weight of trains generally does not include the weight of the operating locomotives; this is not considered dead weight, so is not included. If for example a train had two locomotives operating and was simply hauling a third off line, this third locomotive would be included in the payload weight.
",10
Holocaust train,10408811,"Holocaust trains were railway transports run by the Deutsche Reichsbahn national railway system under the strict supervision of the German Nazis and their allies, for the purpose of forcible deportation of the Jews, as well as other victims of the Holocaust, to the German Nazi concentration, forced labour, and extermination camps.
Modern historians suggest that without the mass transportation of the railways, the scale of the ""Final Solution"" would not have been possible. The extermination of people targeted in the ""Final Solution"" was dependent on two factors: the capacity of the death camps to gas the victims and ""process"" their bodies quickly enough, as well as the capacity of the railways to transport the victims from the Ghettos in Nazi-occupied Europe and Jewish ghettos in German-occupied Poland to selected extermination sites. The most modern accurate numbers on the scale of the ""Final Solution"" still rely partly on shipping records of the German railways.

",11
Hospital train,22774366,"A hospital train is a railway train with carriages equipped for the provision of healthcare. Historically this has ranged from trains equipped to transport wounded soldiers, with basic nursing and first aid facilities on board, to fully equipped mobile medical centres, sometimes including operating theatres and nursing wards.
",12
Hungarian Gold Train,11149562,"The Hungarian Gold Train was the German-operated train during World War II that carried stolen valuables, mostly Hungarian Jewish persons' property, from Hungary towards Berlin in 1945. After American forces seized the train in Austria, almost none of the valuables were returned to Hungary, their rightful owners, or their surviving family members.
",56
Hydrail,18511733,"Hydrail is the generic term denoting all forms of rail vehicles, large or small, which use on-board hydrogen as a source of energy to power the traction motors, or the auxiliaries, or both. Hydrail vehicles convert the chemical energy of hydrogen to mechanical energy, either by burning hydrogen in a hydrogen internal combustion engine vehicle, or by reacting hydrogen with oxygen in a fuel cell to run electric motors. Widespread use of hydrogen for fueling rail transportation is a basic element of the proposed hydrogen economy. The term is used extensively by research scholars and technicians around the world.
Hydrail vehicles are usually hybrid vehicles with renewable energy storage, such as batteries or super capacitors, for regenerative braking, improving efficiency and lowering the amount of hydrogen storage required. Potential hydrail applications include all types of rail transport: commuter rail; passenger rail; freight rail; light rail; rail rapid transit; mine railways; industrial railway systems; trams; and special rail rides at parks and museums.
",69
InterCity,1018045,"InterCity (commonly abbreviated IC on timetables and tickets) is the classification applied to certain long-distance passenger train services in Europe. Such trains (in contrast to regional, local, or commuter trains) generally call at major stations only.
The Inter-City Rapid Transit Company was an Ohio interurban company, which began operations in 1930 as it had purchased its route from the Northern Ohio Traction &amp; Light Company. It remained in operation till 1940.
The use of Inter-City was reborn in the United Kingdom: A daily train of that name was introduced in 1950, running between the cities of London and Birmingham. This usage can claim to be the origin of all later usages worldwide.
In 1966 British Rail introduced the brand InterCity for all of its express train routes, and in 1986 the term was adopted by the InterCity sector of British Rail. Following the privatisation of the railways in Great Britain the term is no longer in official use there, although many people still refer to fast long-distance services as InterCity trains. The brand still exists though, and according to DfT is owned by them.
In West Germany, the Deutsche Bundesbahn first used the name (then written Intercity) in 1968, denoting special first-class services on the F-Zug train network. Many of the Class VT 11.5 diesel multiple units formerly used on the TEE network were converted for early Intercity services.
In Switzerland, the InterCity brand replaced SwissExpress in the 1982 schedule.
In Norway, intercity (later also written InterCity) trains were introduced in 1975 on the Vestfold Line (the Oslo-Skien service), later also on the Østfold Line (Oslo-Halden). They were (relatively) fast trains on distances up to 2–3 hours. Today, the name is used not on the trains, but on the main lines from Oslo to Skien, Lillehammer, and Halden – and also on the Ringerike Line, which is under construction from Oslo to Hønefoss.
An international variant of the InterCity are the EuroCity (EC) trains which were introduced in May 1987. EuroCity trains consist of high-standard, Air conditioned coaches and are usually subject to on-board border controls. EuroCity trains are run by a variety of operators, for example EuroCity trains running in Germany can be made up by rolling stock of either the SBB (Switzerland), ÖBB (Austria) and the SNCF (France), but also less commonly by the Czech ČD and the Hungarian MÁV.

",100
Interexpress,38906781,"Interexpress (abbreviated as ""IEx"") is a former international train category. The word Interexpress is a short form version of the German language term Internationaler Express (English: International Express) and its foreign language equivalents.
Interexpress services operated between 1986 and 1991 as express trains between Czechoslovakia, the German Democratic Republic (GDR), Hungary and Poland.
",64
InterRegio,987782,"The InterRegio is a train service seen in some European countries. Mostly they are trains that run ""from region to region"", as best described by Swiss Federal Railways.
",51
Legehar train station,50850509,"Legehar train station, or La Gare, was the main railway station in Addis Ababa, Ethiopia, the terminal station of the first Addis Ababa – Djibouti train line in the Horn of Africa. Completed in 1917, the station was a central part of the city and the main source of traffic into the city. The style of the station is French with meter-gauge track being used.",14
Longest trains,17745893,"The length of a train, including the longest trains, may be measured in number of wagons (for bulk loads such as coal and iron ore) or in metres for general freight. Train lengths and loads on electrified railways, especially lower voltage 3000 V DC and 1500 V DC, are limited by traction power considerations. Drawgear and couplings can be a limiting factor, tied in with curves, gradients and crossing loop lengths.
Conventional freight trains in the US can average nearly 2,000 metres (6,600 ft). Freight trains with a total length of three or four times that average are possible with the advent of distributed power units, or additional locomotive engines between or behind long chains of freight cars (referred to as a ""consist""). Power units enable much longer, heavier loads without the increased risks of derailing that stem from the stress of pulling very long chains of train-cars around curves.



",20
Merry-go-round train,4147979,"A merry-go-round train, often abbreviated to MGR, is a block train of hopper wagons which both loads and unloads its cargo while moving. In the United Kingdom, they are most commonly coal trains delivering to power stations. These trains were introduced in the 1960s, and were one of the few innovations of the Beeching axe, along with investment from the CEGB (Central Electricity Generating Board) and the NCB (National Coal Board) into new power stations and loading facilities.
",66
Money train,4820778,"A money train is one or more railcars used to collect fare collection revenue from stations on a subway system and return it to a central location for processing. This train is typically used to carry money bags guarded by transit police to deter robberies.
On the New York City Subway, a “money train” was first mentioned in 1905, a year after the system opened. Their trains were converted from subway cars that have been removed from service. This has since been discontinued, with the last service running in January 2006.
The use of a train was necessary because of difficulties in getting to and from stations using over-street transport, and because, since the subway reaches every station, the rail system itself can be used to collect money from ticket machines. The 1995 American crime thriller film Money Train depicts a robbery of such a train.
Singapore's Mass Rapid Transit system introduced a four-car money train when the system was commissioned in 1987. Used to transfer cash trolleys from stations to a counting facility at Bishan Depot, the increased use of stored value tickets resulted in the train being decommissioned in 2007.",23
Motorail,18888894,"A motorail train or accompanied car train (ACT) is a passenger train on which passengers can take their car or automobile along with them on their journey. Passengers are carried in normal passenger carriages or in sleeping carriages on longer journeys, while the cars are loaded into autoracks, car-carriers, or flatcars that normally form part of the same train.
Motorail services are not the same as car shuttle trains or car-carrying train services. The latter usually operate over relatively short distances, on lines passing through a rail tunnel and connecting two places not easily accessible to each other by road. On car shuttle train services, unlike on motorail services, the occupants of the road vehicles being carried on the train usually stay with their vehicle throughout the rail journey.



",14
National Train Day,27123763,"National Train Day was a holiday started by Amtrak in 2008 as a method to spread information to the general public about the advantages of railway travel and the history of trains in the United States. It was held each year on the Saturday closest to May 10, the anniversary of the pounding of the Golden spike in Promontory, Utah which marked the completion of the first transcontinental railroad in the U.S. Events were held at major Amtrak stations as well as railroad museums across the country and often have passenger cars and model railroad layouts on display. The largest events took place in Washington, D.C., Philadelphia, Chicago and Los Angeles. National Train Day was discontinued after 2015 due to budget cuts within Amtrak.
",93
Orphan Train,13301952,"The Orphan Train Movement was a supervised welfare program that transported orphaned and homeless children from crowded Eastern cities of the United States to foster homes located largely in rural areas of the Midwest. The orphan trains operated between 1854 and 1929, relocating about 200,000 orphaned, abandoned, or homeless children.
Three charitable institutions, Children's Village (founded 1851 by 24 philanthropists), the Children's Aid Society (established 1853 by Charles Loring Brace) and later, the New York Foundling Hospital, endeavored to help these children. The institutions were supported by wealthy donors and operated by professional staff. The two institutions developed a program that placed homeless, orphaned, and abandoned city children, who numbered an estimated 30,000 in New York City alone in the 1850s, in foster homes throughout the country. The children were transported to their new homes on trains that were labeled “orphan trains” or ""baby trains"". This relocation of children ended in the 1920s with the beginning of organized foster care in America.



",12
Overland train,1125713,"In the 1950s the LeTourneau company developed several overland trains, essentially oversized semi-trailer trucks that could travel over almost any terrain. Their intention was to be able to handle logistics needs without being dependent on local road or rail systems, allowing them to operate in back-country areas. The US Army had three experimental units built, the largest reaching almost 600 feet (183 m) long, which holds the record for the longest offroad vehicle. Road trains are in use in certain roles today, but the US Army examples and a few derivatives appear to be the only offroad examples built.



",43
Parliamentary train,3667837,"Parliamentary trains in the UK were passenger services required by an Act of Parliament passed in 1844 to allow inexpensive and basic railway travel for less affluent passengers. The legislation required that at least one such service per day be run on every railway route in the United Kingdom.
Such services are no longer a legal requirement, and the term has come to be used instead to describe train services that continue to be run to avoid the cost of formal closure of a route or station, but with services reduced sometimes to one train per week, and without specially low prices. Such services are also often called ""ghost trains"".
",38
Portion working,38529247,"In rail terminology, portion working refers to the operational practice of coupling two or more passenger trains together over common sections of their respective routes, but otherwise operating the trains separately.
Typically, the common sections will be the busiest parts of the totality of the routes covered by a portion working arrangement.
",30
Presidential train,44894299,"A Presidential train is an official train used by a country's president. They include:
North Korean leaders' trains
Tito's Blue Train (Yugoslavia)
Presidential Railcars (USA)
",39
Road train,55265,"A road train or land train is a trucking vehicle of a type used in rural and remote areas of Australia, Canada, Mexico and the United States, to move freight efficiently. The term road train is mainly used in Australia. In the United States, the terms triples, turnpike doubles, and Rocky Mountain doubles are commonly used for longer combination vehicles (LCVs). A road train has a relatively normal tractor unit, but instead of towing one trailer or semi-trailer, it pulls two or more of them.



",69
Rolling highway,15001382,"In rail transportation, a rolling highway, or rolling road is a form of combined transport involving the conveying of road trucks by rail, referred to as Ro-La trains. The concept is a form of piggyback transportation.
The technical challenges to implement rolling highways vary from region to region. In North America, the loading gauge is often high enough to accommodate double stack containers, so the height of a truck on a flat car is no issue. However, in Europe, except for purpose built lines such as the Channel Tunnel or the Gotthard Base Tunnel, the loading gauge height is much smaller, and it is necessary to transport the trailers with the tyres about 30 cm above the rails, so the trailers cannot be simply parked on a deck above the wagon wheels. Making the wagon wheels smaller limits the maximum speed, so many designs allow the trailer to be transported with its wheels lower than the rail wagon wheels. An early approach in France was the kangourou with modified trailers. This technology did not survive, due to the market resistance to modified trailers. Today two designs for these special wagons are in commercial service, ""Modalohr"" and ""Cargobeamer"".
During a rolling-highway journey, if the drivers accompany the trailer, they are accommodated in a passenger car with seats or beds. At both ends of the rail link there are purpose-built terminals that allow the train to be easily loaded and unloaded.
",12
Sealed train,41866539,"A sealed train is one that travels internationally under customs and/or immigration seal, without its contents legally recognized as entering or leaving the nations traversed between the beginning and end of the journey or subject to any otherwise applicable taxes. The most notable use of a sealed train was the return of Vladimir Lenin to Russia from exile in Switzerland in 1917, but the practice was used a number of times throughout the 20th century to allow the migration or transport of controversial individuals or peoples. For instance, sealed trains were used for repatriation of combatants in the Spanish Civil War, Jewish emigration from Nazi Germany to the United States, and expulsion of East German refugees to West Germany.",64
Section (rail transport),52704250,"In rail transport, a section could refer to: a portion of a train that may be operated independently and/or combined with other sections to operate as a single unit; or a portion of railway line designated for signalling or maintenance; or an interior portion of a sleeping car made up of two double seats during daytime that convert to two double berths during nighttime.
Trains could be split into multiple sections for reasons including: an abundance of freight or passengers requiring the use of a second train to cover a route; two or more routes with a common start point but multiple destinations on separate lines. Where multiple trains are used on the same route to convey an excess of freight or passengers, the trains will be defined as ""first section,"" ""second section,"" ""third section,"" etc. to differentiate the vehicles for dispatching. Although it was not always the case that the first section travelled first, this naming and travel sequence was generally followed by convention.",0
Shuttle train,38442004,"The expression shuttle train refers to a train that runs back and forth between two points, especially if it offers a frequent service over a short route. Shuttle trains are used in various ways, in various parts of the world. They commonly operate as a fixed consist, and run non-stop between their termini. They can be used to carry passengers, freight, or both.
",14
Track renewal train,37725284,"A track renewal train (also known as track renewal system or new track construction machine) is a work train that consists of many units of machinery and materials required for track renewal (rail and sleeper replacement) projects.
",31
Train noise,2320500,"Train noise is vehicle noise created by trains. Noises may be heard inside the train and outside. Various parts of a train produce noise, and different kinds of train wheels produce different amounts of noise. Noise barriers can attenuate the noise.
Subways, Light Rail transit and freight trains can send loud train noise into neighborhoods. Organizations such as the World Health Organization and the U.S. Environmental Protection Agency have set guidelines for noise level decibel limits for Rapid Transit
",27
Unit train,1365794,"A unit train, also called a block train or a trainload service, is a train in which all cars (wagons) carry the same commodity and are shipped from the same origin to the same destination, without being split up or stored en route. They are distinct from wagonload trains, which comprise differing numbers of cars for various customers.
Unit trains enable railways to compete more effectively with road and internal waterway transport systems. Time and money is saved by avoiding the complexities and delays that would otherwise be involved with assembling and disassembling trains at rail yards near the origin and destination. Unit trains are particularly efficient and economical for high-volume commodities. Since they often carry only one commodity, cars are of all the same type; often the cars are identical.",23
